lang,seamlessm4t,whisper,seamlessm4t_train,whisper_train,seamlessm4t_test,whisper_test,seamlessm4t_dev,whisper_dev
mar_Deva,26.92154590089862,9.96937070138502,27.353117566422632,10.26050928976548,26.05103894559899,10.110625793510184,24.795196449195128,7.118811419247565
bel_Cyrl,17.932048217698238,10.467651048961839,17.98605101993229,10.272147769952229,17.7326316748556,11.105564003143058,17.933964620431603,10.712716087149094
kan_Knda,24.69367436179256,6.498292487519322,24.69768959567791,6.166874854729387,24.206735147417426,6.92122229981961,25.874683512412567,8.908936210663892
lug_Latn,18.084084047449352,0.621423711833446,17.844587584966412,0.5556761628820739,18.29257159313052,0.7817313477120028,19.83971382460482,0.9200948386701716
jav_Latn,23.433753371243483,3.9303444559089447,23.669182805820583,3.8393875634049937,22.2489590615045,4.6134936298302645,23.972905221316054,3.406504420217834
ita_Latn,27.447813974045268,23.54912529601945,27.315474250928652,23.43866748461627,27.33969367456432,23.185689193974174,29.049420511591986,25.507695503893345
lit_Latn,24.25051119925614,12.702252854937365,24.17392325299748,12.684780942860916,23.688118906842295,12.303210018393012,26.413590943284927,13.915072794327383
kir_Cyrl,19.08044284923687,2.446725132384641,19.11801139411823,2.550058698315238,18.954403005309874,2.2819765681755393,19.021309280790348,1.991431837819343
hau_Latn,1.2748024218404341,0.49352378838791194,1.3525832495140195,0.6068910614835237,1.067801767508089,0.19088881376826852,0.9714984354861472,0.19557593075441582
fra_Latn,35.752159308797324,33.520791100720814,36.320881202482155,34.29467796228244,33.478446717689636,30.68926916581051,35.15851564206626,32.37988007102055
hye_Armn,31.050826555248413,8.64501822095025,30.81815354931169,8.801561241287565,31.03732644794023,8.227273100090065,33.40794781771592,8.294987298726008
asm_Beng,21.378647841527,2.184600970073807,21.260971585052378,2.0635329383273886,21.295682981056206,2.391013301461222,22.710880730965354,2.8656433681286475
ltz_Latn,17.81598434023701,16.11192695137896,18.546526048119077,17.297566188273645,15.639666057144401,14.18430661574376,16.163841821866672,11.282785279853659
heb_Hebr,31.200466655592777,16.6858162313032,30.96428517596251,16.508142745452687,31.00654991520607,17.03818661130693,32.74759285013161,17.610960579131977
nld_Latn,25.744255415306608,21.985659533573592,25.583949585741202,21.802134863491503,27.21720677521003,22.49333520687407,24.38162259416611,22.86287146503187
khm_Khmr,22.375275128895947,4.704575261554524,22.807848069383958,5.1145303070070325,21.354672393948263,4.455229057393281,21.426176292037386,2.6387740686146945
ast_Latn,27.777331429259107,25.4315466820435,28.683233935401265,25.92296461359002,25.092752172111407,23.80406881872974,26.091905301524125,25.180896321692263
ckb_Arab,22.696777798439868,1.5749619945655893,22.291887589247633,1.573222691453428,23.957638248503674,1.4999154260336736,23.445467753396347,1.7692398449264
pes_Arab,30.315740153082405,16.096270377575987,30.348374072162382,16.317655888160346,29.80790455184299,15.15661912293948,31.109106681671044,16.41031319017581
kam_Latn,2.41383698229372,0.7459935029587014,2.489974854745925,0.7621696469313894,2.2453878378050645,0.7281631580618176,1.9658384387704404,0.48546179767099173
