lang,train_whisper_asr_cer_mean,train_whisper_asr_cer_std,train_whisper_asr_wer_mean,train_whisper_asr_wer_std,train_seamlessm4t_asr_cer_mean,train_seamlessm4t_asr_cer_std,train_seamlessm4t_asr_wer_mean,train_seamlessm4t_asr_wer_std,dev_whisper_asr_cer_mean,dev_whisper_asr_cer_std,dev_whisper_asr_wer_mean,dev_whisper_asr_wer_std,dev_seamlessm4t_asr_cer_mean,dev_seamlessm4t_asr_cer_std,dev_seamlessm4t_asr_wer_mean,dev_seamlessm4t_asr_wer_std,test_whisper_asr_cer_mean,test_whisper_asr_cer_std,test_whisper_asr_wer_mean,test_whisper_asr_wer_std,test_seamlessm4t_asr_cer_mean,test_seamlessm4t_asr_cer_std,test_seamlessm4t_asr_wer_mean,test_seamlessm4t_asr_wer_std
ltz_Latn,0.2779128810057892,0.2258298927981451,0.8297939228017107,0.1319487322736477,0.3852649233607673,0.11891222485495385,0.9059592757155529,0.11889938781678382,0.3325694457416525,0.07594409161290469,0.886749437091689,0.1160424825267935,0.4144102190100231,0.10207356893938789,0.9272409980229166,0.10017259281512297,0.3266871165572879,0.06980613865901784,0.8929000403171642,0.11487908104373017,0.4300578847047407,0.15962349829951097,0.9459848037914266,0.15407935453312202
heb_Hebr,0.121739976641806,0.13332946141146415,0.3332364108012768,0.1882826822961744,0.14694425163334487,0.1714183691926929,0.3347463550517078,0.20442828661065512,0.12781187703575195,0.15279919775184259,0.32305703693701404,0.20088161878698135,0.14244795933676932,0.17550571505282858,0.3255485006885078,0.22420375674204435,0.12551093220388496,0.14344694591215382,0.33233572388264215,0.1888564158319032,0.1392788581946777,0.18145836946768798,0.3135228615635141,0.21477835095535283
nld_Latn,0.03225934252173793,0.03683623977718466,0.1084813837299496,0.09838080752992405,0.06982067253544452,0.10205579593246873,0.15702019005136,0.1266209100412847,0.027765740250968656,0.030748649685248847,0.09897857684648188,0.09111591282210088,0.05834883302149438,0.07450243265872127,0.15628659311530027,0.14030861910391612,0.02564579197362971,0.028196002253462107,0.09932975131098266,0.09034192632227436,0.06470562917950579,0.08120856110476211,0.15691126099490588,0.13230032254921867
khm_Khmr,1.3968576216070094,0.5971723930839116,1.0142483316160291,0.20769277053997925,0.29559748081728215,0.10882400763888173,7.211891956693221,4.235553641981239,1.5420399281024684,0.7143975971783646,1.0,0.0,0.29076119544176715,0.10105187271769579,8.12077125939195,5.278760015034561,1.42150826791054,0.5769247061680506,1.0523495012039903,0.6040259056297472,0.30520881870446903,0.11797662536752307,7.430646995472443,4.840015732399116
ast_Latn,0.15199188328865926,0.062357857773141394,0.5549283859702232,0.17555169618001715,0.1963992814365234,0.15694990473901932,0.6263094914590903,0.31255417322903856,0.16379013613761162,0.06402667502068324,0.5945688303898823,0.17551188328839704,0.20362589988811503,0.1845716013033972,0.6943096551246173,0.5558063623104506,0.16016887915873396,0.06119934840410119,0.5698042374771137,0.16521694828468061,0.19674607911061495,0.09316740866168073,0.6392430765574704,0.17420859488008794
ckb_Arab,0.9997149807527074,1.1019476785153186,1.4917550241372715,1.4067886025370706,0.1490414835253404,0.15512124195651775,0.4498547758464226,0.265158696651571,1.026172566043758,0.8614017326227282,1.4794238775643103,1.0385337343161323,0.11923833267087608,0.11225901625746484,0.3885737511775103,0.18551363474556898,0.9191122651848066,0.7577471719938633,1.34628609635679,0.9069391218823465,0.13000366644106406,0.12807546493956481,0.41472672253592924,0.20867061269122472
pes_Arab,0.09350547628055401,0.08286684964936672,0.37144867271531784,0.1668779077879636,0.08659744144891901,0.11237121531413896,0.29790935715432776,0.1921156853659035,0.0844954668530179,0.07171875981009228,0.3476715383687439,0.15640624401659495,0.06609674999638841,0.07948251974868724,0.26372809442332057,0.15717544472396783,0.08353840845613988,0.05444369899815687,0.3403850852459547,0.14003320003620826,0.06824455523389972,0.06594865640560613,0.26708350308742546,0.14513629191232819
kam_Latn,0.457432897002131,0.6499250713358533,1.0368344585586553,0.7531707979737369,0.5425106931062094,0.32718420246120067,1.0335467454489757,0.4964476634464053,0.46796493315657345,0.6014891811741149,1.0969056508071116,0.9184185300191559,0.5191009172808843,0.2729289308255299,1.0540790921070937,0.6750000243751253,0.4043318986989412,0.4019580216673437,0.9741423579211248,0.44010210995058036,0.537391994448508,0.3281036337091964,1.0536148080274543,0.618259606529065
ell_Grek,0.06713324871528892,0.06583154194577348,0.18360869193579324,0.12148042108477482,0.11162695912327136,0.1236956509836137,0.28008784592928254,0.1441956749964774,0.05320259513150868,0.0517376401746883,0.16927507808588096,0.11731061824303562,0.08372503122928407,0.0804035590249646,0.26153327741390403,0.11409003701762617,0.05535917965588083,0.05488276060005499,0.17437106787301013,0.11963214445967098,0.09388200332211502,0.10001981527257804,0.2678408897501535,0.1182164689504598
lin_Latn,0.22327444145502662,0.15175049348545336,0.8059834811723496,0.2258400570369109,0.5812981419837593,0.3869123434412859,1.010405424757055,0.5878401454246501,0.18530430758186497,0.07187257695337318,0.749425165287032,0.18904287402780093,0.5552961567236203,0.3403595490829865,0.9217075167136726,0.1874276920785086,0.19872744434712636,0.07328788008218959,0.7954410454606905,0.20810524697080685,0.6513437902272394,0.4893234340760708,1.1054786408066217,1.0248984986063274
